match_link,match_datetime,edition,phase_label,phase_type,home_team,score,away_team,winner_team,winner_home_away,aet,location,attendance_number,referee_name,referee_country,is_wo,home_score,away_score
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061494/,2010-06-21 20:30:00,2010,Group H,groups,Spain,2–0,Honduras,Spain,home,False,"Ellis Park Stadium, Johannesburg",54386,Yuichi Nishimura ,Japan,False,2,0
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061491/,2010-06-25 20:30:00,2010,Group H,groups,Chile,1–2,Spain,Spain,away,False,"Loftus Versfeld Stadium, Pretoria",41958,Marco Rodríguez ,Mexico,False,1,2
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061492/,2010-06-25 20:30:00,2010,Group H,groups,Switzerland,0–0,Honduras,,,False,"Free State Stadium, Bloemfontein",28042,Héctor Baldassi ,Argentina,False,0,0
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061504/,2010-06-26 16:00:00,2010,knockout stage,finals,Uruguay,2–1,South Korea,Uruguay,home,False,"Nelson Mandela Bay Stadium, Port Elizabeth",30597,Wolfgang Stark ,Germany,False,2,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061503/,2010-06-26 20:30:00,2010,knockout stage,finals,United States,1–2 (a.e.t.),Ghana,Ghana,away,True,"Royal Bafokeng Stadium, Rustenburg",34976,Viktor Kassai ,Hungary,False,1,2
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061501/,2010-06-27 16:00:00,2010,knockout stage,finals,Germany,4–1,England,Germany,home,False,"Free State Stadium, Bloemfontein",40510,Jorge Larrionda ,Uruguay,False,4,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061502/,2010-06-27 20:30:00,2010,knockout stage,finals,Argentina,3–1,Mexico,Argentina,home,False,"Soccer City, Johannesburg",84377,Roberto Rosetti ,Italy,False,3,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300111113/,2010-06-28 16:00:00,2010,knockout stage,finals,Netherlands,2–1,Slovakia,Netherlands,home,False,"Moses Mabhida Stadium, Durban",61962,Alberto Undiano Mallenco ,Spain,False,2,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061500/,2010-06-28 20:30:00,2010,knockout stage,finals,Brazil,3–0,Chile,Brazil,home,False,"Ellis Park Stadium, Johannesburg",54096,Howard Webb ,England,False,3,0
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061497/,2010-06-29 16:00:00,2010,knockout stage,finals,Paraguay,0–0 (a.e.t.),Japan,,,True,"Loftus Versfeld Stadium, Pretoria",36742,Frank De Bleeckere ,Belgium,False,0,0
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061498/,2010-06-29 20:30:00,2010,knockout stage,finals,Spain,1–0,Portugal,Spain,home,False,"Cape Town Stadium, Cape Town",62955,Héctor Baldassi ,Argentina,False,1,0
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061507/,2010-07-02 16:00:00,2010,knockout stage,finals,Netherlands,2–1,Brazil,Netherlands,home,False,"Nelson Mandela Bay Stadium, Port Elizabeth",40186,Yuichi Nishimura ,Japan,False,2,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061508/,2010-07-02 20:30:00,2010,knockout stage,finals,Uruguay,1–1 (a.e.t.),Ghana,,,True,"Soccer City, Johannesburg",84017,Olegário Benquerença ,Portugal,False,1,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061505/,2010-07-03 16:00:00,2010,knockout stage,finals,Argentina,0–4,Germany,Germany,away,False,"Cape Town Stadium, Cape Town",64100,Ravshan Irmatov ,Uzbekistan,False,0,4
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061506/,2010-07-03 20:30:00,2010,knockout stage,finals,Paraguay,0–1,Spain,Spain,away,False,"Ellis Park Stadium, Johannesburg",55359,Carlos Batres ,Guatemala,False,0,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061512/,2010-07-06 20:30:00,2010,knockout stage,finals,Uruguay,2–3,Netherlands,Netherlands,away,False,"Cape Town Stadium, Cape Town",62479,Ravshan Irmatov ,Uzbekistan,False,2,3
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300111114/,2010-07-07 20:30:00,2010,knockout stage,finals,Germany,0–1,Spain,Spain,away,False,"Moses Mabhida Stadium, Durban",60960,Viktor Kassai ,Hungary,False,0,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061510/,2010-07-10 20:30:00,2010,knockout stage,finals,Uruguay,2–3,Germany,Germany,away,False,"Nelson Mandela Bay Stadium, Port Elizabeth",36254,Benito Archundia ,Mexico,False,2,3
https://web.archive.org/web/20200208155241/https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061509/,2010-07-11 20:30:00,2010,knockout stage,finals,Netherlands,0–1 (a.e.t.),Spain,Spain,away,True,"Soccer City, Johannesburg",84490,Howard Webb ,England,False,0,1
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186456/,2014-06-12 17:00:00,2014,Group A,groups,Brazil,3–1,Croatia,Brazil,home,False,"Arena de São Paulo, São Paulo",62103,Yuichi Nishimura ,Japan,False,3,1
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186492/,2014-06-13 13:00:00,2014,Group A,groups,Mexico,1–0,Cameroon,Mexico,home,False,"Arena das Dunas, Natal",39216,Wilmar Roldán ,Colombia,False,1,0
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186509/,2014-06-17 16:00:00,2014,Group A,groups,Brazil,0–0,Mexico,,,False,"Estádio Castelão, Fortaleza",60342,Cüneyt Çakır ,Turkey,False,0,0
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186453/,2014-06-18 18:00:00,2014,Group A,groups,Cameroon,0–4,Croatia,Croatia,away,False,"Arena da Amazônia, Manaus",39982,Pedro Proença ,Portugal,False,0,4
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186472/,2014-06-23 17:00:00,2014,Group A,groups,Cameroon,1–4,Brazil,Brazil,away,False,"Estádio Nacional Mané Garrincha, Brasília",69112,Jonas Eriksson ,Sweden,False,1,4
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186452/,2014-06-23 17:00:00,2014,Group A,groups,Croatia,1–3,Mexico,Mexico,away,False,"Itaipava Arena Pernambuco, Recife",41212,Ravshan Irmatov ,Uzbekistan,False,1,3
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186510/,2014-06-13 16:00:00,2014,Group B,groups,Spain,1–5,Netherlands,Netherlands,away,False,"Itaipava Arena Fonte Nova, Salvador",48173,Nicola Rizzoli ,Italy,False,1,5
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186473/,2014-06-13 18:00:00,2014,Group B,groups,Chile,3–1,Australia,Chile,home,False,"Arena Pantanal, Cuiabá",40275,Noumandiez Doué ,Ivory Coast,False,3,1
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186478/,2014-06-18 13:00:00,2014,Group B,groups,Australia,2–3,Netherlands,Netherlands,away,False,"Estádio Beira-Rio, Porto Alegre",42877,Djamel Haimoudi ,Algeria,False,2,3
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186498/,2014-06-18 16:00:00,2014,Group B,groups,Spain,0–2,Chile,Chile,away,False,"Estádio do Maracanã, Rio de Janeiro",74101,Mark Geiger ,United States,False,0,2
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186467/,2014-06-23 13:00:00,2014,Group B,groups,Australia,0–3,Spain,Spain,away,False,"Arena da Baixada, Curitiba",39375,Nawaf Shukralla ,Bahrain,False,0,3
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186470/,2014-06-23 13:00:00,2014,Group B,groups,Netherlands,2–0,Chile,Netherlands,home,False,"Arena de São Paulo, São Paulo",62996,Bakary Gassama ,Gambia,False,2,0
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186471/,2014-06-14 13:00:00,2014,Group C,groups,Colombia,3–0,Greece,Colombia,home,False,"Estádio Mineirão, Belo Horizonte",57174,Mark Geiger ,United States,False,3,0
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186507/,2014-06-14 22:00:00,2014,Group C,groups,Ivory Coast,2–1,Japan,Ivory Coast,home,False,"Itaipava Arena Pernambuco, Recife",40267,Enrique Osses ,Chile,False,2,1
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186468/,2014-06-19 13:00:00,2014,Group C,groups,Colombia,2–1,Ivory Coast,Colombia,home,False,"Estádio Nacional Mané Garrincha, Brasília",68748,Howard Webb ,England,False,2,1
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186454/,2014-06-19 19:00:00,2014,Group C,groups,Japan,0–0,Greece,,,False,"Arena das Dunas, Natal",39485,Joel Aguilar ,El Salvador,False,0,0
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186457/,2014-06-24 16:00:00,2014,Group C,groups,Japan,1–4,Colombia,Colombia,away,False,"Arena Pantanal, Cuiabá",40340,Pedro Proença ,Portugal,False,1,4
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186455/,2014-06-24 17:00:00,2014,Group C,groups,Greece,2–1,Ivory Coast,Greece,home,False,"Estádio Castelão, Fortaleza",59095,Carlos Vera ,Ecuador,False,2,1
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186489/,2014-06-14 16:00:00,2014,Group D,groups,Uruguay,1–3,Costa Rica,Costa Rica,away,False,"Estádio Castelão, Fortaleza",58679,Felix Brych ,Germany,False,1,3
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186513/,2014-06-14 18:00:00,2014,Group D,groups,England,1–2,Italy,Italy,away,False,"Arena da Amazônia, Manaus",39800,Björn Kuipers ,Netherlands,False,1,2
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186486/,2014-06-19 16:00:00,2014,Group D,groups,Uruguay,2–1,England,Uruguay,home,False,"Arena de São Paulo, São Paulo",62575,Carlos Velasco Carballo ,Spain,False,2,1
https://www.fifa.com/worldcup/archive/brazil2014/matches/match/300186500/,2014-06-20 13:00:00,2014,Group D,groups,Italy,0–1,Costa Rica,Costa Rica,away,False,"Itaipava Arena Pernambuco, Recife",40285,Enrique Osses ,Chile,False,0,1
